user_id,full_name,first_name,last_name,phone,address,city,state,postal_code,email,signup_date,customer_type
18-56/19,Clarinda Edwards,Jesse,Riddle,+1-262-496-3438,911 Sickles Plaza,Niagara Falls,Oregon,76905,reuters1930@example.com,2022-04-23,business
87-70/41,Robin Bradford,Marchelle,Estes,+16287140503,1100 Bluestone Mews,Las Cruces,New Mexico,86220,bedroom2024@yahoo.com,2023-10-03,business
41-54/41,Oren Robertson,Rubie,Bernard,+1-862-780-9876,1035 Kezar Bridge,Westminster,Kansas,74082,mentor1978@example.com,2020-11-28,business
28-76/25,Columbus Head,Modesto,Beach,+1-940-520-1998,446 Ardenwood Run,Springdale,Louisiana,92209,names1873@live.com,2021-07-31,business
59-97/17,Long Bell,Carmelia,Lynch,+1-507-518-2684,793 Candyland Hill,Durant,New Hampshire,32708,denied1869@duck.com,2021-11-02,individual
48-12/86,Quinton Hudson,Elton,Parker,+13690963016,314 Mountain Spring Junction,Waterbury,Alaska,01595,antibodies1809@example.org,2024-07-11,individual
57-98/53,Jerold Moss,Cruz,Horne,+12764559408,851 Missouri Shore,Poplar Bluff,Georgia,08731,indicated1903@example.org,2021-12-21,individual
11-35/27,Merrill Mcbride,Wes,Pope,+1-475-020-2232,985 Martin Luther King Jr Grove,Northbrook,New York,88346,delta1836@protonmail.com,2023-04-18,business
31-66/35,Carylon Duncan,Shella,Myers,+17320820175,1165 Kimball Heights,O'Fallon,Minnesota,27125,jacksonville2015@protonmail.com,2022-02-19,business
76-67/50,Merlyn Townsend,Clint,Sandoval,+1-627-203-6112,242 Rosa Parks Bayou,Millbrook,Iowa,42492,trigger1965@example.org,2023-01-03,business
63-84/18,Ling Hughes,Dion,Rowe,+18587847043,110 Lamson Walk,Meriden,Alabama,48430,view1920@yandex.com,2023-02-01,individual
34-91/98,Jeni Campos,Robbi,Dejesus,+18350537769,693 Phelps Landing,Deerfield,Rhode Island,47029,enemies1818@gmail.com,2021-02-13,individual
68-54/63,Francesco Townsend,Na,Mooney,+14249588590,1191 Marlin Ranch,Onalaska,North Carolina,64921,sharing1805@yandex.com,2021-04-14,individual
16-82/00,Wilson Klein,Fredricka,Jenkins,+16822677555,771 Pagoda Crossing,Biloxi,Oklahoma,34973,lover2069@live.com,2023-01-22,individual
34-02/92,Catheryn Ramos,Karl,Best,+1-415-990-9885,1010 Ruger Lane,New Castle,Alaska,98280,leader1884@protonmail.com,2020-11-30,business
82-93/70,Randee Burks,Chadwick,Barrera,+17022309256,657 Capistrano Lane,Barberton,Georgia,45236,decision2020@protonmail.com,2025-09-28,business
37-93/66,Dana Henderson,Delsie,Leon,+14796356879,903 Guttenberg Junction,Cliffside Park,Kansas,03434,cycle1804@yahoo.com,2020-04-26,individual
78-70/03,Alexis Sellers,Crysta,Lawson,+1-865-444-3250,579 Horne Crescent,Madera,Pennsylvania,27956,flow1969@example.com,2023-10-06,business
32-76/11,Shaniqua Fuentes,Hildred,Moore,+16573844973,1101 Kensington Mall,West Haven,Michigan,74233,bomb2041@live.com,2022-07-15,business
38-56/30,Jimmy Gilmore,Jake,Short,+19045372621,513 Oceanview Crescent,Germantown,Mississippi,97030,hockey2074@gmail.com,2024-03-21,individual
